Levenshtein Distance,Body tags in source,Number of parameter,Digit to alphabet ratio,Entropy,Equals,IP Address,Host name length,ASN Postal Code,Percentage Character,Path length,Special Characters,Escape() function,Total links,Word based distribution,English Letters,Is www present,Question Mark,Numeric Character,Delimiters,At Character,Frame tag present,Underscore,Domain to URL Ratio,Is domain suspicious,Label
0,0,0,0.0,3.79621760259006,0,1,19,1,0,0,6,0,0,1,20,0,0,0,0,0,0,0,0.730769230769231,0,0
0,1,0,0.0,4.0667842134731,0,1,24,1,0,0,5,0,539,1,26,0,0,0,0,0,1,0,0.774193548387097,91,0
0,1,0,0.0,4.03600694533096,0,1,28,1,0,0,6,2,245,1,29,0,0,0,0,0,1,0,0.8,85,0
10,0,0,0.0,3.78494182743764,0,1,14,1,0,0,5,0,0,1,16,0,0,0,0,0,0,0,0.666666666666667,0,0
0,0,0,0.05,4.02698683335929,0,1,19,1,0,0,5,0,0,1,20,0,0,1,0,0,0,0,0.730769230769231,0,0
0,1,0,0.0,3.89629152904593,0,1,21,1,0,0,6,0,17,1,22,0,0,0,0,0,1,0,0.75,0,0
9,1,0,0.0,3.66193287237358,0,1,20,1,0,0,5,0,64,1,22,0,0,0,0,0,1,0,0.740740740740741,11,0
0,1,0,0.0,3.85538854220753,0,1,17,1,0,0,5,0,136,1,19,0,0,0,0,0,1,0,0.708333333333333,50,0
0,1,0,0.0,3.91211389097223,0,1,20,1,0,0,5,0,407,1,22,0,0,0,0,0,0,0,0.740740740740741,184,0
0,0,0,0.0,3.70247151221975,0,1,22,1,0,0,5,0,0,1,24,0,0,0,0,0,0,0,0.758620689655172,0,0
0,1,0,0.0,3.44740150470592,0,1,15,1,0,0,6,0,190,1,16,0,0,0,0,0,1,0,0.681818181818182,16,0
0,0,0,0.0,3.30875135124717,0,1,14,1,0,0,5,0,0,1,16,0,0,0,0,0,0,0,0.666666666666667,0,0
0,0,0,0.0,3.93027037229345,0,1,20,1,0,0,6,0,0,1,21,0,0,0,0,0,0,0,0.740740740740741,0,0
0,1,0,0.0,3.67290559532006,0,1,23,1,0,0,6,0,211,1,24,0,0,0,0,0,1,0,0.766666666666667,0,0
0,1,0,0.0,3.67326968951511,0,1,18,1,0,0,6,0,2,1,19,0,0,0,0,0,0,0,0.72,3,0
0,0,0,0.0,3.95822916866988,0,0,20,0,0,0,5,0,0,1,22,0,0,0,0,0,0,0,0.740740740740741,0,0
0,1,0,0.0,3.66353275480426,0,1,15,1,0,0,5,0,0,1,17,0,0,0,0,0,0,0,0.681818181818182,0,0
0,1,0,0.0,4.22932735194002,0,1,30,1,0,0,6,0,11,1,31,0,0,0,0,0,0,0,0.810810810810811,6,0
0,1,0,0.0,3.55851861304891,0,1,14,1,0,0,6,0,89,1,15,0,0,0,0,0,1,0,0.666666666666667,24,0
0,1,0,0.0,4.01218840396866,0,1,21,1,0,0,7,0,85,1,21,0,0,0,0,0,1,0,0.75,1,0
0,1,0,0.0,4.04243300372589,0,1,24,1,0,0,5,0,20,1,26,0,0,0,0,0,0,0,0.774193548387097,79,0
0,1,0,0.0,3.43162356584743,0,1,12,1,0,0,5,3,61,1,14,0,0,0,0,0,1,0,0.631578947368421,0,0
0,1,0,0.0,4.05366068968819,0,1,18,1,0,0,5,0,3,1,20,0,0,0,0,0,0,0,0.72,20,0
0,0,0,0.0,3.73366068968819,0,0,18,0,0,0,5,0,0,1,20,0,0,0,0,0,0,0,0.72,0,0
0,1,0,0.0,3.85730685689813,0,1,22,1,0,0,5,1,74,1,24,0,0,0,0,0,1,0,0.758620689655172,27,0
0,0,0,0.0,3.75343438618879,0,1,21,1,0,0,5,0,0,1,23,0,0,0,0,0,0,0,0.75,0,0
0,0,0,0.0,3.81437194317963,0,1,22,1,0,0,5,0,104,1,24,0,0,0,0,0,0,0,0.758620689655172,0,0
0,0,0,0.0,3.33717534112308,0,1,10,1,0,0,5,0,0,1,12,0,0,0,0,0,0,0,0.588235294117647,0,0
0,2,0,0.0,3.76718346789146,0,1,19,1,0,0,6,0,183,1,20,0,0,0,0,0,1,0,0.730769230769231,18,0
0,1,0,0.0,3.57661764490867,0,1,12,1,0,0,5,0,223,1,14,0,0,0,0,0,1,0,0.631578947368421,0,0
0,0,0,0.0,3.94346518960165,0,1,18,1,0,0,6,0,0,1,19,0,0,0,0,0,0,0,0.72,0,0
0,1,0,0.0,3.46328051781081,0,1,14,1,0,0,5,0,124,1,16,0,0,0,0,0,0,0,0.666666666666667,39,0
9,1,0,0.0,3.81437194317963,0,1,22,1,0,0,5,0,27,1,24,0,0,0,0,0,0,0,0.758620689655172,14,0
0,0,0,0.0,4.1471140520432,0,0,24,0,0,0,7,0,0,1,24,0,0,0,0,0,0,0,0.774193548387097,0,0
0,1,0,0.0,3.9861879650463,0,1,20,1,0,0,5,0,0,1,22,0,0,0,0,0,0,0,0.740740740740741,0,0
0,0,0,0.0,3.75444184571335,0,0,15,0,0,0,5,0,0,1,17,0,0,0,0,0,0,0,0.681818181818182,0,0
0,1,0,0.0,4.05656476213096,0,1,23,1,0,0,6,0,166,1,24,0,0,0,0,0,1,0,0.766666666666667,0,0
0,1,0,0.0,3.76226739065149,0,1,16,1,0,0,5,0,58,1,18,0,0,0,0,0,1,0,0.695652173913044,74,0
0,0,0,0.0,3.57262366389516,0,1,15,1,0,0,5,0,0,1,17,0,0,0,0,0,0,0,0.681818181818182,0,0
0,0,0,0.0,3.29614837474762,0,1,14,1,0,0,6,0,0,1,15,0,0,0,0,0,0,0,0.666666666666667,0,0
0,1,0,0.0,3.84385618977473,0,1,18,1,0,0,6,0,248,1,19,0,0,0,0,0,1,0,0.72,6,0
0,0,0,0.0,3.65726822961739,0,0,17,0,0,0,5,0,0,1,19,0,0,0,0,0,0,0,0.708333333333333,0,0
0,1,0,0.0,4.05656476213096,0,1,23,1,0,0,6,0,6,1,24,0,0,0,0,0,0,0,0.766666666666667,2,0
0,0,0,0.0,3.96900162987599,0,1,16,1,0,0,5,2,396,1,18,0,0,0,0,0,1,0,0.695652173913044,0,0
0,1,0,0.0,3.28103611255342,0,1,11,1,0,0,5,0,62,1,13,0,0,0,0,0,1,0,0.611111111111111,4,0
0,1,0,0.0,3.66353275480426,0,1,15,1,0,0,5,0,212,1,17,0,0,0,0,0,1,0,0.681818181818182,11,0
0,1,0,0.0,3.75260046835571,0,1,26,1,0,0,5,0,260,1,28,0,0,0,0,0,1,0,0.787878787878788,66,0
0,1,0,0.0,4.12121924383191,0,1,30,1,0,0,5,0,4,1,32,0,0,0,0,0,0,0,0.810810810810811,4,0
0,0,0,0.0,3.94075983254009,0,0,21,0,0,0,5,0,0,1,23,0,0,0,0,0,0,0,0.75,0,0
0,1,0,0.0,3.57262366389516,0,1,15,1,0,0,5,3,148,1,17,0,0,0,0,0,1,0,0.681818181818182,2,0
