Body tags in source,TLD in path,Numeric Character,Percentage Character,Google Search Feature,IP Address,Https in URL,Entropy,Number of parameter,Is English word,Dots,Levenshtein Distance,ASN updation date,Host name length,Total links,Digit to alphabet ratio,Is www present,Label
1,0,0,0,0,1,0,3.926108501,0,1,2,0,1,25,0,0.0,0,0
1,0,0,0,0,1,0,3.686419411,0,1,2,0,1,19,162,0.0,0,0
0,0,4,0,0,1,0,3.522571589,0,0,2,0,1,14,0,0.333333333,0,0
1,0,0,0,0,1,0,3.572623664,0,1,2,0,1,15,8,0.0,0,0
1,0,0,0,0,1,0,3.576617645,0,1,2,0,1,12,58,0.0,0,0
0,0,0,0,0,1,0,3.546439345,0,1,2,0,1,13,0,0.0,0,0
1,0,0,0,0,1,0,3.446439345,0,1,2,0,0,13,220,0.0,0,0
1,0,0,0,0,1,0,3.446439345,0,1,2,0,1,13,40,0.0,0,0
1,0,0,0,0,1,0,3.89366069,0,1,2,0,1,18,27,0.0,0,0
1,0,0,0,0,1,0,3.784941827,0,1,2,0,1,14,1,0.0,0,0
0,0,0,0,0,1,0,3.847742679,0,1,3,0,1,23,0,0.0,0,0
0,0,0,0,0,0,0,3.902174814,0,1,2,0,1,19,0,0.0,0,0
0,0,0,0,0,1,0,3.246439345,0,1,3,0,0,13,0,0.0,0,0
1,0,0,0,0,1,0,3.884155095,0,1,3,0,1,20,474,0.0,0,0
1,0,4,0,0,1,0,4.13366069,0,0,2,0,1,18,0,0.25,0,0
1,0,0,0,0,1,0,3.260828171,0,1,2,0,1,12,91,0.0,0,0
1,0,0,0,0,1,0,3.767183468,0,1,2,0,1,19,69,0.0,0,0
1,0,0,0,0,1,0,3.882045108,0,1,2,0,1,16,208,0.0,0,0
0,0,0,0,0,0,0,3.884858892,0,1,4,0,0,26,0,0.0,0,0
0,0,0,0,0,1,0,3.334209459,0,1,3,0,0,15,0,0.0,0,0
0,0,0,0,0,1,0,3.740601563,0,1,2,0,1,17,0,0.0,0,0
1,0,0,0,0,1,0,3.921029622,0,1,2,0,0,19,82,0.0,0,0
1,0,0,0,0,1,0,3.937751955,0,1,2,0,1,24,27,0.0,0,0
1,0,0,0,0,1,0,3.633974076,0,1,2,0,1,20,0,0.0,0,0
0,0,0,0,0,0,0,3.653996739,0,1,2,0,1,16,0,0.0,0,0
1,0,0,0,0,1,0,4.014438731,0,1,2,0,1,28,159,0.0,0,0
1,0,0,0,0,1,0,3.921029622,0,1,3,0,1,19,72,0.0,0,0
1,0,0,0,0,1,0,3.663532755,0,0,2,0,1,15,77,0.0,0,0
1,0,0,0,0,1,0,3.810081021,0,1,2,0,1,20,160,0.0,0,0
0,0,0,0,0,0,0,3.43326969,0,1,3,0,1,18,0,0.0,0,0
1,0,0,0,0,1,0,3.736006946,0,0,2,0,1,20,20,0.0,0,0
1,0,1,0,0,1,0,3.689703732,0,0,2,0,1,14,121,0.066666667,0,0
2,0,0,0,0,1,0,3.842370993,0,1,3,0,1,21,345,0.0,0,0
1,0,0,0,0,1,0,3.912113891,0,0,2,0,0,20,74,0.0,0,0
1,0,0,0,0,1,0,3.819244739,0,1,2,0,1,27,62,0.0,0,0
1,0,0,0,0,1,0,3.796217603,0,1,2,0,1,19,72,0.0,0,0
1,0,0,0,0,1,0,3.337175341,0,1,2,0,1,10,157,0.0,0,0
1,0,0,0,0,1,0,3.576617645,0,1,2,0,1,12,0,0.0,0,0
