Word based distribution,Body tags in source,File Extention,Frame tag present,Exec() Function,Is www present,Dots,Is Pronounceable,Levenshtein Distance,Entropy,Tilde,Domain to URL Ratio,At Character,mailto: present,Uppercase to LowercaseRatio,Total links,Is domain suspicious,Numeric Character,Google Search Feature,ASN updation date,Ampersand,Question Mark,Percentage Character,Label
1,1,0,1,0,1,2,0,0,3.82823750184296,0,0.703703703703704,0,1,0.0,128,76,0,0,1,0,0,0,0
1,0,0,0,0,1,2,0,0,3.95905708166975,0,0.405405405405405,0,1,0.0,8,2,0,0,1,0,0,0,0
1,1,0,1,0,1,2,0,0,3.75326968951511,0,0.68,0,1,0.0,124,27,0,0,1,0,0,0,0
1,1,0,0,0,1,2,0,0,4.04394270791827,0,0.825,0,0,0.0,43,43,0,0,1,0,0,0,0
1,0,0,0,0,1,2,0,0,3.95006375643621,0,0.730769230769231,0,0,0.0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,3,0,0,3.96322741509314,0,0.446808510638298,0,0,0.0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,2,0,0,3.60538854220753,0,0.666666666666667,0,1,0.0,37,12,0,0,1,0,0,0,0
1,1,0,1,0,1,2,0,0,3.82469873517385,0,0.78125,0,0,0.0,52,160,0,0,1,0,0,0,0
1,1,0,0,0,1,3,0,0,3.82393489628406,0,0.666666666666667,0,0,0.0,115,0,0,0,0,0,0,0,0
1,0,0,0,0,1,2,0,0,3.66957674631639,0,0.733333333333333,0,0,0.0,0,2,0,0,1,0,0,0,0
1,1,0,1,0,1,2,0,0,3.61333731404531,0,0.692307692307692,0,1,0.0,159,19,0,0,1,0,0,0,0
1,1,0,1,2,1,3,0,0,3.8697704638921,0,0.377777777777778,0,0,0.0,509,87,1,0,1,0,0,0,0
1,0,0,0,0,0,4,0,0,3.98228923749333,0,0.805555555555556,0,0,0.0,0,0,4,0,1,0,0,0,0
1,0,0,1,0,1,2,0,0,3.34643934467102,0,0.6,0,1,0.0,22,21,0,0,1,0,0,0,0
1,0,0,0,0,0,5,0,0,4.55095260950462,0,0.243243243243243,0,0,0.0,0,0,8,0,0,0,0,0,0
1,1,0,1,0,1,2,0,0,3.89542387028032,0,0.764705882352941,0,0,0.0,123,401,0,0,1,0,0,0,0
1,0,0,0,0,1,2,0,0,4.07097902781297,0,0.476190476190476,0,0,0.0,0,0,0,0,0,0,0,0,0
1,1,0,1,2,1,3,0,0,4.32477142179511,0,0.253731343283582,0,0,0.0,509,88,4,0,1,0,0,0,0
1,0,0,0,0,1,2,0,0,3.84410654481454,0,0.730769230769231,0,0,0.0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,3,0,0,4.18852262209335,0,0.783783783783784,0,0,0.0,88,56,0,0,1,0,0,0,0
