Query length,ASN updation date,Levenshtein Distance,Google Search Feature,Numeric Character,Is domain suspicious,Dash,Semicolon,Equals,Is www present,Sensitive Words,Https in URL,Special Characters,Dots,Domain Age in Days,English Letters,Exec() Function,Host name length,Label
0,1,0,0,0,27,5,0,0,1,7,1,12,2,2918,49,0,12,0
0,0,0,0,4,0,0,0,0,1,0,1,7,3,4266,27,0,29,0
0,1,0,0,10,0,1,0,0,1,0,1,9,2,3181,37,0,16,0
0,1,0,0,1,0,0,0,0,1,0,1,13,6,0,65,0,45,0
0,0,0,0,0,0,0,0,0,1,0,1,9,3,11547,52,0,18,0
0,1,0,0,0,0,1,0,0,1,0,1,7,2,8782,20,0,18,0
0,1,0,0,4,4,1,0,0,1,3,1,15,3,11728,44,0,15,0
0,1,0,0,0,0,0,0,0,1,0,1,8,3,0,29,0,20,0
0,1,0,0,14,64,5,0,0,1,12,1,17,3,2918,64,0,22,0
6,1,0,0,4,35,0,0,1,1,9,1,8,2,4532,25,0,21,0
0,1,0,0,7,353,0,0,0,1,542,1,8,2,1958,30,16,12,0
13,1,0,0,2,3,1,0,1,1,1,1,9,2,4266,32,0,15,0
0,1,17,0,1,0,0,0,1,1,0,1,8,3,0,34,0,21,0
0,1,0,0,0,23,0,0,0,1,4,1,7,3,3259,34,0,22,0
16,1,0,0,10,66,0,0,1,1,2,1,12,3,3259,61,10,18,0
0,1,0,0,10,0,11,0,0,1,0,1,21,2,0,69,0,11,0
16,1,0,0,9,0,0,0,1,1,0,1,11,4,0,39,0,22,0
0,1,0,0,0,0,0,0,0,1,0,1,7,2,8823,30,0,15,0
0,1,0,0,10,0,2,0,0,1,0,1,10,2,11913,47,0,16,0
0,1,0,0,0,0,0,0,0,1,0,1,6,2,3338,30,0,15,0
0,0,0,0,0,0,0,0,0,1,0,1,8,3,0,33,0,24,0
0,1,0,0,0,0,0,0,0,1,0,1,10,3,0,43,0,20,0
11,1,0,0,3,20,0,0,1,1,5,1,9,2,1472,32,0,23,0
0,1,8,0,4,0,0,0,0,1,0,1,11,4,2918,50,0,26,0
0,1,0,0,0,0,0,0,0,1,0,1,9,2,4086,48,0,19,0
0,0,0,0,0,0,0,0,0,1,0,1,6,2,0,23,0,20,0
0,1,0,0,0,0,0,0,0,1,0,1,9,3,0,37,0,20,0
0,1,0,0,0,0,1,0,0,1,0,1,9,3,3593,39,0,25,0
27,1,0,0,6,0,1,0,0,1,0,1,12,3,9476,60,0,25,0
