Word based distribution,Path length,mailto: present,Dash,Is title tag empty,Digit to alphabet ratio,ASN updation date,Tilde,Is English word,Is www present,Domain Age in Days,Is Pronounceable,Levenshtein Distance,Files in URL,Question Mark,Total links,Body tags in source,.js used,Label
1,1,0,0,1,0.0,0,0,1,1,5406,0,43,0,1,0,1,0,0
1,40,0,0,0,0.0,1,0,1,1,0,0,14,0,0,0,0,0,0
1,23,0,0,0,0.0,0,0,1,0,0,0,21,0,0,0,0,0,0
1,5,1,0,0,0.0,0,1,1,1,11916,1,9,0,0,19,0,0,0
1,37,0,1,0,0.093023256,1,0,1,1,8710,0,12,0,0,0,0,0,0
1,1,0,2,0,0.0,0,0,1,0,0,1,30,0,0,0,0,0,0
1,42,0,1,0,0.0,0,0,1,0,1523,0,9,0,0,0,1,0,0
1,34,1,0,0,0.162790698,1,0,1,1,2288,0,8,0,0,37,0,0,0
0,19,0,0,0,0.264705882,1,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,0,0,0.0,0,1,1,1,10840,0,0,0,0,0,0,0,0
1,13,0,0,0,0.25,1,0,1,0,8342,0,0,0,1,0,0,0,0
1,8,0,0,0,0.0,1,0,1,0,8644,1,0,0,0,0,0,0,0
1,4,0,1,0,0.091954023,1,0,1,1,0,0,0,0,2,0,0,0,0
1,6,0,0,0,0.0,0,0,1,1,12721,0,0,0,0,5,1,0,0
1,4,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,21,0,0,0,0.060606061,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,21,0,0,0,0.0,1,0,1,1,3586,0,0,0,0,48,1,0,0
0,23,0,0,0,0.025641026,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0.0,1,0,1,0,2036,0,0,0,0,0,0,0,0
1,6,0,0,0,0.0,1,0,1,1,5364,0,0,0,0,171,1,0,0
0,1,0,0,0,0.155555556,0,0,1,0,0,0,0,0,0,0,0,0,0
