At Character,Ampersand,Is English word,Frame tag present,Google Search Feature,Sensitive Words,Semicolon,Domain to URL Ratio,IP Address,Hash Character,Number of fragments,Https in URL,Host name length,ASN Postal Code,Special Characters,Number of parameter,ASN updation date,mailto: present,Numeric Character,Underscore,Levenshtein Distance,Dash,Delimiters,Div tag in source,Label
0,9,1,1,0,13,0,0.128571428571429,1,0,0,0,18,1,32,3,1,0,0,5,0,1,0,911,0
0,0,1,0,0,0,0,0.166666666666667,1,0,0,0,16,1,14,0,1,0,0,0,0,4,0,0,0
0,0,1,0,0,0,0,0.09009009009009,1,0,0,0,10,1,24,0,1,0,21,1,0,1,0,0,0
0,0,1,0,0,0,0,0.206896551724138,1,0,0,0,18,1,17,1,1,0,3,0,0,1,0,0,0
0,0,1,1,0,5,0,0.116279069767442,1,0,0,0,15,1,28,0,1,1,16,0,0,17,0,96,0
0,0,1,0,0,7,0,0.183673469387755,1,0,0,0,18,1,16,0,1,0,12,0,0,6,0,29,0
0,0,0,0,0,0,0,0.177777777777778,1,0,0,0,16,1,17,0,1,0,11,0,0,7,0,0,0
0,0,1,0,0,0,0,0.211111111111111,1,0,0,0,19,1,16,0,0,0,11,0,0,0,6,281,0
0,0,1,1,0,0,0,0.0514018691588785,1,0,0,0,11,1,68,0,1,0,79,0,0,2,0,89,0
0,0,1,1,0,0,0,0.218390804597701,1,0,0,0,19,1,19,0,0,1,10,0,0,10,0,123,0
0,0,0,0,0,0,0,0.134020618556701,1,0,0,0,13,1,19,0,0,0,19,0,0,11,0,0,0
0,0,1,0,0,0,0,0.215909090909091,1,0,0,0,19,1,16,0,0,0,10,0,0,0,6,260,0
0,0,1,0,0,0,0,0.12,1,0,0,0,15,1,22,1,1,0,7,1,0,9,0,0,0
0,2,1,0,0,0,0,0.101351351351351,1,0,0,0,15,1,24,3,0,0,28,3,0,2,0,0,0
0,0,1,0,0,0,0,0.096,0,0,0,0,12,0,22,0,1,0,2,0,0,14,0,0,0
0,0,1,1,0,7,0,0.118110236220472,1,0,0,0,15,1,23,0,1,1,15,0,0,12,0,104,0
0,0,1,1,0,18,0,0.227272727272727,1,0,0,0,20,1,12,0,1,1,7,0,0,4,0,203,0
0,0,1,1,0,9,0,0.216494845360825,1,0,0,0,21,1,17,0,0,0,1,0,0,10,0,16,0
