Levenshtein Distance,Body tags in source,Number of parameter,Digit to alphabet ratio,Entropy,IP Address,Host name length,Percentage Character,Special Characters,Total links,Word based distribution,Is www present,Question Mark,Numeric Character,At Character,Frame tag present,Domain to URL Ratio,Is domain suspicious,Google Search Feature,Https in URL,Is English word,Dots,ASN updation date,mailto: present,Dash,Label
0,1,0,0.0,3.82823750184296,1,19,0,6,128,1,1,0,0,0,1,0.703703703703704,76,0,0,1,2,1,1,0,0
0,0,0,0.0,3.95905708166975,1,15,0,8,8,1,1,0,0,0,0,0.405405405405405,2,0,0,1,2,1,1,1,0
0,1,0,0.0,3.75326968951511,1,17,0,6,124,1,1,0,0,0,1,0.68,27,0,0,1,2,1,1,0,0
0,1,0,0.0,4.04394270791827,1,33,0,5,43,1,1,0,0,0,0,0.825,43,0,0,1,2,1,0,0,0
0,0,0,0.0,3.95006375643621,1,19,0,6,0,1,1,0,0,0,0,0.730769230769231,0,0,0,0,2,1,0,1,0
0,0,0,0.0,3.96322741509314,0,21,0,8,0,1,0,0,0,0,0,0.446808510638298,0,0,0,1,3,0,0,0,0
0,1,0,0.0,3.60538854220753,1,16,0,6,37,1,1,0,0,0,1,0.666666666666667,12,0,0,1,2,1,1,0,0
0,1,0,0.0,3.82469873517385,1,25,0,6,52,1,1,0,0,0,1,0.78125,160,0,0,0,2,1,0,1,0
0,1,0,0.0,3.82393489628406,1,16,0,7,115,1,1,0,0,0,0,0.666666666666667,0,0,0,1,3,0,0,0,0
0,0,0,0.0,3.66957674631639,1,22,0,7,0,1,1,0,0,0,0,0.733333333333333,2,0,0,0,2,1,0,1,0
0,1,0,0.0,3.61333731404531,1,18,0,7,159,1,1,0,0,0,1,0.692307692307692,19,0,0,0,2,1,1,1,0
0,1,0,0.0277777777777777,3.8697704638921,1,17,0,8,509,1,1,0,1,0,1,0.377777777777778,87,0,0,1,3,1,0,0,0
0,0,0,0.16,3.98228923749333,1,29,0,7,0,1,0,0,4,0,0,0.805555555555556,0,0,0,1,4,1,0,0,0
0,0,0,0.0,3.34643934467102,1,12,0,6,22,1,1,0,0,0,1,0.6,21,0,0,1,2,1,1,0,0
0,0,0,0.156862745098039,4.55095260950462,0,18,0,15,0,1,0,0,8,0,0,0.243243243243243,0,0,0,1,5,0,0,0,0
0,1,0,0.0,3.89542387028032,1,26,0,6,123,1,1,0,0,0,1,0.764705882352941,401,0,0,1,2,1,0,0,0
0,0,0,0.0,4.07097902781297,0,30,0,14,0,1,1,0,0,0,0,0.476190476190476,0,0,0,0,2,0,0,7,0
0,1,0,0.0754716981132075,4.32477142179511,1,17,0,10,509,1,1,0,4,0,1,0.253731343283582,88,0,0,1,3,1,0,0,0
0,0,0,0.0,3.84410654481454,0,19,0,5,0,1,1,0,0,0,0,0.730769230769231,0,0,0,1,2,0,0,0,0
0,1,0,0.0,4.18852262209335,1,29,0,7,88,1,0,0,0,0,1,0.783783783783784,56,0,0,1,3,1,0,0,0
0,1,0,0.0,4.04729909842664,1,21,0,6,62,1,0,0,0,0,1,0.724137931034483,37,0,0,1,2,1,0,0,0
0,0,0,0.0,3.83326968951511,0,17,0,7,0,1,1,0,0,0,0,0.68,0,0,0,0,2,0,0,1,0
0,1,0,0.0,4.01930504062989,1,21,0,7,9,1,1,0,0,0,0,0.466666666666667,10,0,0,1,2,1,0,0,0
0,0,0,0.0,3.87806826834552,0,26,0,6,0,1,1,0,0,0,0,0.764705882352941,0,0,0,1,2,0,0,0,0
0,1,0,0.0,4.09400016056493,1,21,0,7,0,1,1,0,0,0,0,0.5,347,0,0,1,3,1,0,0,0
0,1,0,0.0,4.16906937340607,1,22,0,10,23,1,0,0,0,0,1,0.468085106382979,25,0,0,1,4,1,1,0,0
0,0,1,0.0833333333333333,4.50186647650336,1,20,0,10,0,1,1,1,3,0,0,0.408163265306122,0,0,0,1,3,1,0,0,0
0,0,0,0.0,3.43872187554087,1,16,0,6,0,1,1,0,0,0,0,0.666666666666667,0,0,0,1,2,1,0,0,0
0,0,0,0.0,4.02346518960165,1,18,0,5,0,1,1,0,0,0,0,0.72,0,0,0,1,2,1,0,0,0
0,0,0,0.0,3.92922929667218,1,24,0,6,0,1,1,0,0,0,0,0.75,0,0,0,1,2,1,0,0,0
0,0,0,0.0,3.64559331445115,0,20,0,6,0,1,1,0,0,0,0,0.714285714285714,0,0,0,1,2,0,0,0,0
0,0,0,0.0,4.00153101210974,1,18,0,8,0,1,1,0,0,0,0,0.382978723404255,0,0,0,1,2,1,0,0,0
0,1,0,0.0,3.64248967316613,1,15,0,6,19,1,1,0,0,0,1,0.652173913043478,1,0,0,1,2,1,1,0,0
0,1,0,0.0,3.65726822961739,1,16,0,6,0,1,1,0,0,0,1,0.666666666666667,147,0,0,1,2,1,0,0,0
0,1,0,0.0,4.01687569576656,1,28,0,6,211,1,1,0,0,0,1,0.777777777777778,29,0,0,1,2,1,0,0,0
0,1,0,0.0,4.16638950523773,1,21,0,9,0,1,1,1,0,0,0,0.477272727272727,0,0,0,0,3,1,0,1,0
0,0,0,0.0,3.92922929667218,1,18,0,6,0,1,1,0,0,0,0,0.5625,0,0,0,1,2,1,0,0,0
0,0,0,0.176470588235294,3.81008102052173,1,15,0,7,0,1,1,0,3,0,0,0.555555555555556,0,0,0,1,2,0,0,0,0
0,0,0,0.0,4.12614964343903,1,17,0,9,0,1,1,0,0,0,0,0.320754716981132,0,0,0,1,3,1,0,1,0
0,0,0,0.0,4.26297904107074,1,17,0,10,0,1,1,0,0,0,0,0.45945945945946,0,0,0,0,4,0,0,2,0
0,0,0,0.1875,4.35455244495229,1,13,0,8,0,1,1,0,6,0,0,0.282608695652174,0,0,0,1,3,1,0,0,0
0,0,0,0.0,4.01808179397869,0,23,0,7,0,1,1,0,0,0,0,0.741935483870968,0,0,0,1,3,0,0,0,0
0,1,0,0.0,4.00436418470814,1,22,0,5,51,1,1,0,0,0,1,0.758620689655172,14,0,0,1,2,1,0,0,0
0,0,0,0.0,3.81858864606133,0,27,0,7,0,1,1,0,0,0,0,0.771428571428572,0,0,0,1,3,0,0,0,0
0,0,0,0.0,3.91211389097223,1,20,0,5,0,1,1,0,0,0,1,0.740740740740741,31,0,0,1,2,1,1,0,0
0,0,0,0.148148148148148,4.11169869294386,0,17,0,8,0,0,0,0,4,0,0,0.435897435897436,0,0,0,0,3,0,0,1,0
0,1,0,0.0,4.02126849490377,1,22,0,5,0,1,1,0,0,0,0,0.758620689655172,3,0,0,1,2,1,0,0,0
0,0,0,0.0,4.03063906222957,1,24,0,6,0,1,1,0,0,0,0,0.75,0,0,0,1,2,1,0,0,0
0,0,0,0.0,3.94546495249511,1,14,0,7,0,1,1,0,0,0,0,0.424242424242424,0,0,0,1,2,1,0,0,0
0,1,0,0.0,4.14999651670767,1,17,0,7,509,1,1,0,0,0,1,0.414634146341463,87,0,0,1,2,1,0,0,0
0,1,0,0.0,3.74060156295072,1,16,0,6,1352,1,1,0,0,0,0,0.666666666666667,628,0,0,1,2,1,0,0,0
0,1,0,0.0,4.1550455468258,1,20,0,6,258,1,1,0,0,0,0,0.714285714285714,102,0,0,1,2,1,0,0,0
0,0,0,0.0,3.87290559532006,0,22,0,6,0,1,1,0,0,0,0,0.733333333333333,0,0,0,1,2,0,0,0,0
0,0,0,0.0,3.92095859334435,1,16,0,7,0,1,0,0,0,0,0,0.5,0,0,0,1,3,1,0,0,0
0,1,0,0.0,3.81640271664439,1,15,0,6,294,1,1,0,0,0,1,0.652173913043478,71,0,0,1,2,1,0,0,0
0,0,0,0.0,4.2746903818446,1,21,0,8,0,1,0,0,0,0,0,0.403846153846154,0,0,0,1,3,1,0,0,0
0,1,0,0.0,3.82823750184296,1,19,0,6,83,1,1,0,0,0,1,0.703703703703704,0,0,0,1,2,1,0,0,0
0,1,0,0.0,4.22217431122406,1,29,0,7,27,1,1,0,0,0,0,0.783783783783784,36,0,0,1,3,1,0,0,0
0,0,0,0.0256410256410256,4.05525579311239,0,27,0,8,0,1,0,0,1,0,0,0.5625,0,0,0,1,3,0,0,0,0
8,1,0,0.0,3.57393489628406,1,16,0,6,0,1,1,0,0,0,0,0.666666666666667,3,1,0,1,2,1,0,0,0
18,0,0,0.0,4.02844515943123,0,27,0,7,0,1,1,0,0,0,0,0.771428571428572,0,0,0,1,3,0,0,0,0
26,0,0,0.0,3.6714055834425,1,18,0,6,0,1,1,0,0,0,0,0.692307692307692,0,0,0,1,2,1,0,0,0
9,1,0,0.0,3.98989809546429,1,22,0,7,20,1,1,0,0,0,0,0.733333333333333,19,9,0,0,2,1,1,1,0
9,0,0,0.0,4.02085512047121,1,26,0,6,0,1,1,0,0,0,0,0.764705882352941,0,8,0,1,2,1,0,0,0
9,1,0,0.0,3.51326968951511,1,17,0,6,30,1,1,0,0,0,1,0.68,1,0,0,1,2,1,0,0,0
32,0,0,0.0,4.14674033589619,1,17,0,7,398,1,1,0,0,0,0,0.395348837209302,1,0,0,1,2,1,0,0,0
17,0,0,0.0,3.84922391239063,1,15,0,6,0,1,1,0,0,0,0,0.652173913043478,0,0,0,1,2,1,0,0,0
8,0,0,0.0,4.29808398863204,0,36,0,9,0,1,0,0,0,0,0,0.631578947368421,0,1,0,1,4,0,0,0,0
22,1,0,0.0,3.49922754172336,1,13,0,6,53,1,1,0,0,0,1,0.619047619047619,32,8,0,1,2,1,0,0,0
49,1,0,0.0,4.05869496956284,1,32,0,7,0,1,0,0,0,0,0,0.8,0,0,0,1,3,1,0,0,0
9,1,4,0.063063063063063,4.68783128925697,1,18,0,21,0,1,1,1,7,0,0,0.129496402877698,5,1,0,1,3,1,0,0,0
19,1,0,0.0,3.44643934467102,1,12,0,6,969,1,1,0,0,0,1,0.6,210,2,0,1,2,1,0,0,0
8,1,0,0.0,3.66898695845306,1,21,0,5,98,1,1,0,0,0,0,0.75,100,2,0,1,2,1,1,0,0
9,0,0,0.0,4.04697420724848,1,18,0,7,0,1,1,0,0,0,0,0.4,0,11,0,1,3,1,0,0,0
14,0,0,0.0,3.6292196865241,0,14,0,7,0,1,1,0,0,0,0,0.636363636363636,0,0,0,1,3,0,0,0,0
21,0,0,0.0,3.78436848759686,0,19,0,9,0,1,0,0,0,0,0,0.612903225806452,0,0,0,1,4,0,0,0,0
8,1,0,0.0,3.81031723757278,1,31,0,5,22,1,1,0,0,0,0,0.815789473684211,93,0,0,1,2,1,0,0,0
9,0,0,0.0,4.0179179007621,1,13,0,9,0,1,1,0,0,0,0,0.382352941176471,0,0,0,1,2,1,0,0,0
18,0,0,0.0,3.97885008127123,1,16,0,8,0,1,1,0,0,0,0,0.372093023255814,0,0,0,1,3,1,0,0,0
9,1,0,0.0,4.23326968951511,1,16,0,9,35,1,1,0,0,0,0,0.32,32,2,0,1,3,1,0,0,0
9,1,0,0.0,3.57243125132212,1,11,0,5,492,1,1,0,0,0,1,0.611111111111111,132,2,0,1,2,1,0,0,0
16,0,0,0.0,3.91555328506335,0,29,0,9,0,1,1,0,0,0,0,0.783783783783784,0,0,0,1,5,0,0,0,0
14,0,0,0.0,3.68970373219955,1,14,0,5,0,1,1,0,0,0,0,0.666666666666667,0,8,0,1,2,0,0,0,0
9,1,0,0.0,4.08041451398524,1,17,0,8,0,1,1,0,0,0,0,0.45945945945946,136,0,0,0,3,1,0,1,0
9,1,1,0.0,4.20706738639996,1,20,0,9,76,1,1,1,0,0,1,0.416666666666667,58,2,0,1,3,1,1,0,0
15,1,0,0.0,3.84888461662912,1,23,0,6,0,1,1,0,0,0,0,0.741935483870968,0,0,0,1,2,1,0,0,0
